n,chrms,starts,ends
440,1,1055000,1185000
936,1,1587500,1647500
1097,1,1712500,1837500
1511,1,2125000,2315000
1554,1,2132500,2517500
1727,1,2347500,2472500
1728,1,2347500,3342500
1827,1,2482500,2517500
2226,1,3365000,3535000
2272,1,3477500,3537500
2854,1,5567500,5807500
2855,1,5567500,5977500
3129,1,6307500,6402500
3130,1,6307500,6462500
3145,1,6407500,6462500
3190,1,6545000,6705000
3284,1,6782500,7132500
3285,1,6782500,7282500
3286,1,6782500,7707500
3291,1,6787500,6952500
3321,1,6857500,7127500
3362,1,7102500,7707500
3677,1,7725000,8375000
3680,1,7727500,7812500
3687,1,7732500,7962500
3759,1,8082500,8372500
3952,1,8622500,8732500
3953,1,8622500,8787500
3954,1,8622500,8902500
4010,1,8982500,9047500
4019,1,9067500,9162500
4073,1,9172500,9257500
4138,1,9345000,9515000
4141,1,9347500,9552500
4142,1,9347500,9632500
4268,1,9557500,9627500
4285,1,9687500,9747500
4286,1,9687500,9787500
4287,1,9687500,9932500
4295,1,9847500,9927500
4301,1,9932500,10482500
439,1,10492500,10552500
441,1,10567500,10927500
442,1,10575000,11005000
504,1,11097500,11702500
643,1,11302500,11702500
671,1,11382500,11702500
698,1,11717500,11777500
721,1,11902500,11952500
722,1,11902500,12027500
743,1,12185000,12675000
744,1,12187500,12267500
750,1,12332500,12677500
751,1,12372500,12677500
812,1,13992500,14052500
813,1,13992500,14132500
814,1,13992500,14287500
818,1,14157500,14287500
822,1,14215000,234915000
828,1,14435000,14895000
872,1,15155000,234915000
893,1,15447500,15597500
913,1,15657500,15752500
914,1,15665000,234915000
971,1,16035000,234915000
988,1,16095000,234915000
1014,1,16315000,234915000
1023,1,16402500,16512500
1024,1,16402500,16687500
1025,1,16405000,234915000
1028,1,16407500,16567500
1031,1,16475000,234915000
1034,1,16525000,234915000
1056,1,16665000,234915000
1069,1,16735000,234915000
1077,1,16835000,234915000
1084,1,16935000,234915000
1086,1,16957500,17032500
1108,1,17235000,149225000
1115,1,17275000,17565000
1122,1,17287500,17372500
1126,1,17295000,234915000
1135,1,17387500,17562500
1136,1,17392500,17662500
1143,1,17452500,17562500
1144,1,17452500,17662500
1165,1,17565000,234915000
1176,1,17735000,234915000
1180,1,17805000,234915000
1182,1,17827500,17932500
1193,1,17925000,234915000
1210,1,18145000,234915000
1242,1,18425000,234915000
1252,1,18615000,234915000
1267,1,18925000,234915000
1268,1,18927500,19147500
1271,1,19135000,234915000
1272,1,19232500,19422500
1306,1,19667500,19987500
1321,1,19987500,20137500
1337,1,20242500,20482500
1338,1,20242500,20822500
1360,1,20537500,20822500
1388,1,20852500,20967500
1401,1,21022500,21517500
1593,1,21555000,21985000
1597,1,21582500,21692500
1634,1,22335000,22745000
1643,1,22455000,22975000
1644,1,22457500,22602500
1645,1,22457500,22742500
1671,1,22747500,22972500
1715,1,23302500,23422500
1716,1,23302500,23512500
1723,1,23422500,23512500
1724,1,23425000,23605000
1744,1,23545000,23725000
1756,1,23822500,23862500
1757,1,23822500,23962500
1761,1,23872500,23962500
1771,1,24022500,24082500
1781,1,24137500,24192500
1805,1,24527500,24717500
1806,1,24527500,24957500
1847,1,25017500,25152500
1856,1,25172500,25367500
1857,1,25172500,25427500
1858,1,25172500,25532500
1867,1,25287500,25357500
1890,1,25575000,25665000
1891,1,25612500,25727500
1892,1,25612500,25752500
1893,1,25612500,25847500
1904,1,25725000,26135000
1919,1,25937500,26137500
1923,1,26155000,26325000
1925,1,26222500,26327500
1935,1,26432500,26472500
1946,1,26612500,26647500
1963,1,26932500,27117500
1964,1,26932500,27207500
1965,1,26947500,27017500
1975,1,27137500,27207500
1979,1,27372500,27427500
1982,1,27427500,27612500
1983,1,27427500,27712500
1984,1,27527500,27602500
1990,1,27627500,27717500
1991,1,27627500,27932500
1997,1,27725000,27935000
1998,1,27727500,27992500
2004,1,27937500,27987500
2014,1,28185000,28535000
2016,1,28187500,28307500
2023,1,28417500,28532500
2026,1,28575000,28685000
2027,1,28575000,28835000
2028,1,28575000,28925000
2031,1,28685000,29205000
2034,1,28737500,28927500
2037,1,28837500,29202500
2038,1,28842500,28927500
2044,1,28975000,29205000
2050,1,29107500,29197500
2051,1,29112500,29522500
2052,1,29115000,29365000
2059,1,29207500,29357500
2060,1,29207500,29522500
2078,1,29557500,31182500
2079,1,29565000,29785000
2080,1,29565000,30845000
2081,1,29567500,30317500
2138,1,31192500,31387500
2139,1,31202500,31252500
2140,1,31235000,32405000
2141,1,31272500,31387500
2142,1,31655000,31895000
2143,1,31655000,32015000
2144,1,31912500,32002500
2155,1,32125000,32265000
2157,1,32132500,32172500
2165,1,32282500,32427500
2196,1,32987500,33247500
2217,1,33392500,33472500
2218,1,33395000,33545000
2224,1,33477500,59097500
2233,1,33762500,33832500
2234,1,33762500,33937500
