n,chrms,starts,ends
530,1,915000,1005000
252,1,1030000,1235000
416,1,1255000,1450000
226,1,1710000,1840000
311,1,1860000,2055000
427,1,1865000,1985000
400,1,2120000,2320000
660,1,2345000,2475000
75,1,2520000,2585000
15,1,2710000,3340000
476,1,3395000,3540000
783,1,3540000,3660000
6,1,3995000,5510000
286,1,5535000,5940000
233,1,6085000,6545000
820,1,6110000,6260000
450,1,6295000,6505000
671,1,6305000,6405000
538,1,6405000,6480000
571,1,6545000,6740000
504,1,6765000,6965000
168,1,7295000,7710000
362,1,7715000,8010000
643,1,7715000,7825000
531,1,7830000,8015000
256,1,8030000,8410000
642,1,8450000,8595000
350,1,8455000,8925000
780,1,8790000,8920000
151,1,8940000,9645000
395,1,8940000,9295000
569,1,8950000,9065000
815,1,9065000,9165000
621,1,9170000,9295000
234,1,9330000,9550000
683,1,9555000,9650000
119,1,9650000,10535000
456,1,9650000,9935000
607,1,9675000,9780000
674,1,9820000,9930000
855,1,9935000,10005000
788,1,10005000,10095000
647,1,10230000,10425000
723,1,10490000,10555000
394,1,10555000,11020000
794,1,10565000,10725000
640,1,10750000,11005000
65,1,11075000,11840000
566,1,11075000,11330000
41,1,11090000,11720000
443,1,11360000,11705000
501,1,11705000,11800000
665,1,11875000,11970000
822,1,12055000,12150000
275,1,12170000,12290000
40,1,12325000,12740000
147,1,13770000,13955000
299,1,13775000,14310000
442,1,13985000,14140000
580,1,14150000,14295000
187,1,15430000,15835000
340,1,15450000,15610000
496,1,15645000,15765000
831,1,15770000,15845000
656,1,15850000,16085000
142,1,15870000,16390000
728,1,15945000,16075000
338,1,16115000,16335000
424,1,16400000,16520000
839,1,16575000,16690000
207,1,16695000,16835000
53,1,17250000,17380000
771,1,17385000,17450000
554,1,17455000,17565000
475,1,17735000,17960000
845,1,17735000,17815000
459,1,17820000,17945000
27,1,17970000,18910000
437,1,18915000,19165000
186,1,19205000,19575000
540,1,19205000,19400000
742,1,19415000,19575000
263,1,19665000,19985000
844,1,19715000,19815000
821,1,19820000,19920000
702,1,19985000,20190000
45,1,20195000,20840000
379,1,20235000,20520000
731,1,20420000,20500000
140,1,20535000,20950000
497,1,20540000,20830000
609,1,20835000,20980000
195,1,21005000,21530000
127,1,21540000,21930000
272,1,21555000,21700000
278,1,21995000,22335000
695,1,22010000,22110000
520,1,22110000,22305000
673,1,22345000,22440000
86,1,22425000,23290000
220,1,22430000,22990000
550,1,22440000,22735000
661,1,22745000,22980000
411,1,23000000,23265000
396,1,23295000,23610000
372,1,23420000,23515000
779,1,23520000,23605000
819,1,23625000,23735000
169,1,23810000,23995000
260,1,23870000,23965000
514,1,24010000,24090000
261,1,24120000,24210000
92,1,24380000,24965000
617,1,24525000,24720000
615,1,24740000,24965000
330,1,24970000,25170000
88,1,24975000,25560000
586,1,25170000,25255000
175,1,25175000,25550000
137,1,25230000,25545000
324,1,25265000,25365000
74,1,25725000,25870000
479,1,25870000,26140000
384,1,26150000,26350000
262,1,26365000,26775000
741,1,26365000,26500000
547,1,26415000,26495000
557,1,26575000,26755000
655,1,26590000,26665000
230,1,26805000,27230000
763,1,26810000,26910000
567,1,26930000,27020000
816,1,27025000,27115000
605,1,27120000,27225000
96,1,27315000,28055000
768,1,27340000,27430000
558,1,27430000,27620000
436,1,27620000,27725000
415,1,27725000,27995000
616,1,27735000,27885000
277,1,27930000,27995000
214,1,28150000,28570000
495,1,28170000,28315000
343,1,28410000,28545000
367,1,28575000,28975000
633,1,28575000,28685000
791,1,28710000,28830000
711,1,28835000,28970000
710,1,28975000,29080000
288,1,29095000,29550000
551,1,29095000,29205000
705,1,29210000,29365000
19,1,29565000,29880000
56,1,31185000,31265000
199,1,31185000,31410000
247,1,31265000,31400000
729,1,31415000,31535000
858,1,31550000,31630000
524,1,31635000,31850000
618,1,31895000,32015000
756,1,32020000,32110000
694,1,32110000,32260000
686,1,32275000,32480000
876,1,32570000,32650000
507,1,32650000,32865000
659,1,32665000,32800000
326,1,32905000,33275000
735,1,32980000,33120000
760,1,33155000,33250000
346,1,33370000,33555000
332,1,33590000,33960000
572,1,33745000,33950000
857,1,33760000,33840000
697,1,33840000,33940000
222,1,34105000,34530000
560,1,34920000,35065000
608,1,35240000,35330000
776,1,35475000,35640000
512,1,35645000,35830000
598,1,35655000,35770000
412,1,35910000,36025000
502,1,36035000,36245000
886,1,36110000,36180000
696,1,36335000,36550000
425,1,36555000,36930000
588,1,36555000,36770000
526,1,36775000,36915000
107,1,36960000,37910000
866,1,37795000,37900000
328,1,37910000,38165000
76,1,37920000,38475000
356,1,38060000,38170000
859,1,38165000,38260000
385,1,38340000,38470000
188,1,38485000,39310000
29,1,38655000,39215000
836,1,38930000,39060000
676,1,39075000,39295000
533,1,39320000,39545000
704,1,39335000,39450000
112,1,39550000,40040000
591,1,39560000,39740000
669,1,39570000,39650000
727,1,39650000,39735000
297,1,39740000,40025000
555,1,40040000,40200000
828,1,40055000,40130000
478,1,40265000,40510000
668,1,40280000,40370000
577,1,40370000,40510000
235,1,40535000,40900000
865,1,40545000,40610000
685,1,40805000,40880000
718,1,40900000,41000000
249,1,41005000,41445000
767,1,41150000,41320000
852,1,41155000,41230000
835,1,41235000,41320000
781,1,41330000,41445000
583,1,41510000,41710000
752,1,41590000,41710000
218,1,41725000,41925000
206,1,41985000,42525000
510,1,42025000,42360000
717,1,42060000,42240000
748,1,42370000,42505000
730,1,42645000,42800000
320,1,42800000,43230000
827,1,42805000,42925000
285,1,43235000,43570000
786,1,43240000,43375000
516,1,43380000,43545000
84,1,43660000,44535000
300,1,43675000,43920000
872,1,43995000,44110000
868,1,44115000,44210000
500,1,44225000,44410000
666,1,44440000,44525000
178,1,44545000,45130000
832,1,44545000,44675000
811,1,44680000,44815000
193,1,44825000,45090000
377,1,45185000,45295000
133,1,45190000,45480000
63,1,45285000,45770000
706,1,45300000,45475000
523,1,45480000,45765000
174,1,45775000,46050000
280,1,45805000,45960000
196,1,45965000,46050000
91,1,46055000,46710000
301,1,46055000,46480000
795,1,46060000,46145000
469,1,46075000,46370000
282,1,46495000,46660000
593,1,46710000,46835000
162,1,46845000,47205000
480,1,46860000,47020000
585,1,47065000,47190000
10,1,47225000,47640000
273,1,47645000,47865000
392,1,47905000,48190000
837,1,48455000,48535000
269,1,48555000,48700000
223,1,49010000,49345000
809,1,49180000,49285000
2,1,49365000,50810000
257,1,50825000,51180000
215,1,51230000,51670000
833,1,51535000,51655000
790,1,51665000,51775000
138,1,51790000,52310000
700,1,51815000,52010000
462,1,52045000,52250000
308,1,52345000,52490000
370,1,52580000,52800000
601,1,52870000,53160000
823,1,53020000,53145000
846,1,53165000,53305000
254,1,53705000,53880000
105,1,53710000,54245000
389,1,53930000,54220000
826,1,54225000,54305000
314,1,54290000,54520000
388,1,54305000,54430000
873,1,54435000,54515000
49,1,54515000,55340000
361,1,54565000,54975000
543,1,54875000,54960000
692,1,55135000,55280000
418,1,55370000,55505000
355,1,55545000,55750000
843,1,55750000,55835000
104,1,56325000,57075000
883,1,56515000,56600000
620,1,56870000,57050000
13,1,57285000,58515000
563,1,58525000,58640000
216,1,58965000,59160000
319,1,59205000,59615000
877,1,59370000,59505000
784,1,59615000,59740000
113,1,59770000,60225000
626,1,60330000,60430000
9,1,60435000,61285000
12,1,60555000,61240000
139,1,61505000,61935000
542,1,62135000,62320000
805,1,62530000,62610000
345,1,62625000,62885000
145,1,62900000,63275000
144,1,63345000,63765000
364,1,63780000,64015000
111,1,64075000,64730000
464,1,64620000,64710000
98,1,64745000,65130000
461,1,65305000,65510000
606,1,65525000,65690000
762,1,65610000,65685000
573,1,65730000,65885000
172,1,66425000,66700000
302,1,66710000,66915000
317,1,66720000,66815000
309,1,66845000,66910000
202,1,66970000,67205000
413,1,67235000,67385000
38,1,67395000,67985000
79,1,67440000,67630000
433,1,67680000,67975000
882,1,67810000,67890000
348,1,67995000,68235000
867,1,68045000,68140000
578,1,68145000,68230000
754,1,68235000,68310000
341,1,68315000,68560000
281,1,68580000,68820000
1,1,68985000,70260000
200,1,70595000,70985000
681,1,70690000,70820000
814,1,70820000,70885000
80,1,71070000,71525000
236,1,74990000,75185000
25,1,75225000,75670000
24,1,75690000,76120000
414,1,76180000,76270000
291,1,76355000,76595000
722,1,76375000,76460000
631,1,76620000,76775000
157,1,77340000,77595000
158,1,77355000,77545000
184,1,77610000,78000000
83,1,78035000,78475000
755,1,78040000,78145000
576,1,78465000,78590000
54,1,78605000,79070000
171,1,79070000,79150000
31,1,79315000,79710000
7,1,79935000,80560000
22,1,79960000,80405000
85,1,81855000,82280000
73,1,81935000,82305000
423,1,82010000,82235000
100,1,84370000,84600000
210,1,84640000,84900000
289,1,84900000,85225000
595,1,84945000,85090000
798,1,85095000,85225000
570,1,85240000,85395000
238,1,85400000,85745000
430,1,85405000,85520000
387,1,85545000,85735000
287,1,85765000,86030000
406,1,86070000,86175000
369,1,86360000,86485000
69,1,86830000,87145000
351,1,86835000,86980000
208,1,87295000,87565000
472,1,87590000,87765000
751,1,87615000,87700000
30,1,87770000,88440000
90,1,88625000,89060000
243,1,89120000,89355000
146,1,89440000,89925000
318,1,89450000,89830000
691,1,89830000,89925000
115,1,89945000,90480000
204,1,89945000,90245000
549,1,89965000,90075000
535,1,90095000,90235000
325,1,90260000,90465000
95,1,90565000,91065000
331,1,91340000,91635000
268,1,91965000,92395000
266,1,92435000,92720000
255,1,92765000,93090000
635,1,92780000,92920000
457,1,92935000,93070000
409,1,93105000,93290000
125,1,93295000,93720000
313,1,93305000,93470000
678,1,93475000,93545000
715,1,93545000,93720000
804,1,93545000,93650000
315,1,94080000,94310000
132,1,94480000,94825000
334,1,94975000,95280000
366,1,95310000,95520000
460,1,95545000,95705000
536,1,97185000,97295000
782,1,97425000,97530000
732,1,98310000,98390000
26,1,99605000,100175000
110,1,100215000,100925000
329,1,100265000,100505000
818,1,100505000,100600000
850,1,100610000,100715000
879,1,100730000,100820000
736,1,100830000,100915000
242,1,100955000,101345000
166,1,101360000,101930000
793,1,101580000,101755000
537,1,101760000,101920000
274,1,105235000,105325000
194,1,107735000,108105000
629,1,107965000,108075000
36,1,108320000,108610000
584,1,109350000,109455000
854,1,109655000,109745000
224,1,109765000,110025000
546,1,109820000,109945000
622,1,110090000,110175000
126,1,110165000,110575000
506,1,110190000,110320000
422,1,110325000,110530000
639,1,110575000,110665000
163,1,110710000,111040000
428,1,110740000,110865000
481,1,110880000,110950000
165,1,111055000,111335000
772,1,111055000,111160000
399,1,111165000,111325000
841,1,111575000,111670000
680,1,111670000,111765000
492,1,111765000,111980000
259,1,112000000,112315000
28,1,112345000,112830000
51,1,112350000,112885000
241,1,112915000,113255000
304,1,112930000,113015000
800,1,113040000,113160000
447,1,113160000,113255000
131,1,113260000,113630000
349,1,113260000,113360000
435,1,113420000,113610000
43,1,113670000,114175000
267,1,114265000,114510000
156,1,114520000,114850000
183,1,114880000,115300000
489,1,114915000,115125000
373,1,115505000,115665000
167,1,115695000,116115000
503,1,116145000,116320000
397,1,116335000,116540000
197,1,116670000,117045000
602,1,116900000,117040000
624,1,117040000,117115000
180,1,117110000,117610000
545,1,117115000,117240000
708,1,117265000,117430000
628,1,117275000,117370000
594,1,117605000,117675000
484,1,117900000,118045000
485,1,118070000,118235000
539,1,119455000,119535000
806,1,119585000,119680000
386,1,119815000,119915000
253,1,120150000,120225000
0,1,144835000,145835000
344,1,146640000,146720000
454,1,146960000,147130000
108,1,149845000,150195000
42,1,149860000,150040000
189,1,149915000,150030000
337,1,150040000,150160000
888,1,150335000,150420000
182,1,150420000,150980000
789,1,150435000,150520000
426,1,150520000,150970000
393,1,150525000,150600000
625,1,150980000,151145000
869,1,150980000,151045000
810,1,151155000,151250000
764,1,151255000,151390000
